Date-Time                     ,RadioRxTime ,GPS Time Record      ,Filtered Temperature (K) ,Filtered Humidity ,Filtered Dewpoint (K) ,Filtered Pressure (mb) ,Filtered Wind Dir ,Filtered Wind Spd (m/s) ,Filtered Altitude (m) ,Filtered Latitude ,Filtered Longitude ,GPS Velocity East (m/s) ,GPS Velocity North (m/s) ,GPS Velocity Up (m/s) ,GPS Altitude (m) ,GPS Latitude ,GPS Longitude ,GPS Derived Wind Dir ,GPS Derived Wind Spd (m/s) ,PTU Status ,RawPTU AscRate (m/s) ,RawPTU Humidity1 ,RawPTU Humidity2 ,RawPTU Pressure ,RawPTU PressureOK ,RawPTU Temperature ,RawPTU TemperatureOK ,WindResults East (m/s) ,WindResults North (m/s) ,WindResults Up (m/s) ,WindResults FiltGeoPotHeight (m) ,Calculated Mixing Ratio , , , , ,
[2023-02-01T18:55:38.3310673] ,  1617.3864 ,01-Feb-2023 18:52:34 ,                267.95   ,          93.1    ,             267.0068 ,             1076      ,         288      ,                 1.2    ,              67.2906 ,          43.8238 ,-76.2017           ,                0.11171 ,1.0023                   ,2.1861                ,           70.97 ,     43.8239 ,-76.2011      ,            186.3592 ,                    1.0085 ,         0 ,0.19128              ,92.024           ,92.024           ,      1009.326  ,                1 ,          267.3382 ,                   1 ,                3.8653 ,1.2694                  ,-32768               ,                        107.6283 ,               2.2426   , , , , ,
[2023-02-01T18:55:40.3797844] ,  1618.802  ,01-Feb-2023 18:52:35 ,                267.1684 ,          95.9787 ,             266.6292 ,             1009.8919 ,         254.2719 ,                 3.751  ,              77.0437 ,          43.8239 ,-76.2012           ,                1.3937  ,0.23432                  ,5.6743                ,           77.37 ,     43.8239 ,-76.2011      ,            260.4563 ,                    1.4133 ,         0 ,2.1861               ,92.46            ,92.46            ,      1008.621  ,                1 ,          267.2589 ,                   1 ,                4.2167 ,1.3909                  ,-32768               ,                        112.0211 ,               2.3217   , , , , ,
[2023-02-01T18:55:40.3835557] ,  1619.802  ,01-Feb-2023 18:52:36 ,                267.1263 ,          96.3236 ,             266.6343 ,             1009.2648 ,         251.8721 ,                 4.7566 ,              82.7187 ,          43.8239 ,-76.201            ,                6.5553  ,-1.6022                  ,5.5453                ,           83.02 ,     43.8239 ,-76.201       ,            283.7345 ,                    6.7482 ,         0 ,5.6743               ,93.2001          ,93.2001          ,      1007.9948 ,                1 ,          267.216  ,                   1 ,                4.5732 ,1.513                   ,-32768               ,                        117.5496 ,               2.324    , , , , ,
[2023-02-01T18:55:40.3878288] ,  1620.802  ,01-Feb-2023 18:52:37 ,                267.0971 ,          95.833  ,             266.5383 ,             1008.7607 ,         251.3587 ,                 5.3197 ,              87.4098 ,          43.8239 ,-76.2009           ,                9.5089  ,1.5545                   ,5.9538                ,           88.38 ,     43.8239 ,-76.2009      ,            260.7152 ,                    9.6351 ,         0 ,5.5453               ,93.4092          ,93.4092          ,      1007.4914 ,                1 ,          267.176  ,                   1 ,                4.9325 ,1.6339                  ,-32768               ,                        122.3632 ,               2.3081   , , , , ,
[2023-02-01T18:55:40.3910535] ,  1621.802  ,01-Feb-2023 18:52:38 ,                267.1302 ,          95.0431 ,             266.4629 ,             1008.3276 ,         251.4188 ,                 5.6832 ,              91.2978 ,          43.824  ,-76.2007           ,                9.2378  ,3.6535                   ,3.6008                ,           91.23 ,     43.824  ,-76.2008      ,            248.4215 ,                    9.934  ,         0 ,5.9538               ,93.0211          ,93.0211          ,      1007.0588 ,                1 ,          267.2081 ,                   1 ,                5.2929 ,1.753                   ,-32768               ,                        125.9768 ,               2.2957   , , , , ,
[2023-02-01T18:55:40.3942923] ,  1622.802  ,01-Feb-2023 18:52:39 ,                267.1271 ,          94.7284 ,             266.4164 ,             1007.8434 ,         251.5916 ,                 6.0038 ,              95.2511 ,          43.824  ,-76.2006           ,                9.9537  ,5.8142                   ,4.1077                ,           94.33 ,     43.824  ,-76.2006      ,            239.7099 ,                   11.5274 ,         0 ,3.6008               ,92.9337          ,92.9337          ,      1006.5753 ,                1 ,          267.2    ,                   1 ,                5.6525 ,1.8689                  ,-32768               ,                        129.6425 ,               2.2886   , , , , ,
[2023-02-01T18:55:40.3977469] ,  1623.802  ,01-Feb-2023 18:52:40 ,                267.1438 ,          94.9154 ,             266.4588 ,             1007.6045 ,         251.7404 ,                 6.3384 ,             100.1192 ,          43.824  ,-76.2006           ,                8.515   ,4.4347                   ,5.7587                ,           99.72 ,     43.824  ,-76.2005      ,            242.4889 ,                    9.6006 ,         0 ,4.1077               ,93.3898          ,93.3898          ,      1005.9182 ,                1 ,          267.225  ,                   1 ,                6.0091 ,1.98                    ,-32768               ,                        134.3982 ,               2.2967   , , , , ,
[2023-02-01T18:55:40.3992974] ,  1624.802  ,01-Feb-2023 18:52:41 ,                267.1147 ,          95.1762 ,             266.4658 ,             1006.5579 ,         251.854  ,                 6.6932 ,             105.9936 ,          43.824  ,-76.2005           ,                6.0899  ,1.524                    ,4.9858                ,          104.5  ,     43.824  ,-76.2005      ,            255.9506 ,                    6.2777 ,         0 ,5.7587               ,94.5812          ,94.5812          ,      1005.3084 ,                1 ,          267.1989 ,                   1 ,                6.3605 ,2.0847                  ,-32768               ,                        140.3693 ,               2.3003   , , , , ,
[2023-02-01T18:55:40.4007017] ,  1625.802  ,01-Feb-2023 18:52:42 ,                267.05   ,          95.4054 ,             266.4329 ,             1005.9442 ,         251.9685 ,                 7.0507 ,             112.2997 ,          43.824  ,-76.2004           ,                6.2199  ,-0.3386                  ,5.117                 ,          113.91 ,     43.824  ,-76.2004      ,            273.116  ,                    6.2291 ,         0 ,4.9858               ,95.1128          ,95.1128          ,      1004.972  ,                1 ,          267.133  ,                   1 ,                6.7045 ,2.1827                  ,-32768               ,                        147.5373 ,               2.2959   , , , , ,
[2023-02-01T18:55:40.4019627] ,  1626.802  ,01-Feb-2023 18:52:43 ,                267.0092 ,          95.8618 ,             266.4547 ,             1005.3034 ,         252.1067 ,                 7.3973 ,             117.7247 ,          43.8241 ,-76.2003           ,                6.1951  ,0.95614                  ,6.588                 ,          119.49 ,     43.824  ,-76.2003      ,            261.2264 ,                    6.2685 ,         0 ,5.117                ,95.4313          ,95.4313          ,      1004.069  ,                1 ,          267.0882 ,                   1 ,                7.0398 ,2.2728                  ,-32768               ,                        153.0591 ,               2.3012   , , , , ,
[2023-02-01T18:55:40.4031399] ,  1627.802  ,01-Feb-2023 18:52:44 ,                267.0006 ,          96.626  ,             266.5502 ,             1004.6327 ,         252.2657 ,                 7.7308 ,             122.0674 ,          43.8241 ,-76.2002           ,                9.023   ,3.2165                   ,7.0377                ,          121.19 ,     43.8241 ,-76.2002      ,            250.3799 ,                    9.5792 ,         0 ,6.588                ,96.3156          ,96.3156          ,      1003.454  ,                1 ,          267.0774 ,                   1 ,                7.3638 ,2.3549                  ,-32768               ,                        156.5952 ,               2.3197   , , , , ,
[2023-02-01T18:55:40.4049586] ,  1628.802  ,01-Feb-2023 18:52:45 ,                267.0011 ,          97.2184 ,             266.6308 ,             1003.933  ,         252.4437 ,                 8.0496 ,             126.5105 ,          43.8241 ,-76.2001           ,                9.2594  ,3.7399                   ,4.3754                ,          125.77 ,     43.8241 ,-76.2001      ,            248.0062 ,                    9.9862 ,         0 ,7.0377               ,96.4646          ,96.4646          ,      1002.8676 ,                1 ,          267.0819 ,                   1 ,                7.675  ,2.4282                  ,-32768               ,                        160.7351 ,               2.3358   , , , , ,
[2023-02-01T18:55:40.4064546] ,  1629.802  ,01-Feb-2023 18:52:46 ,                266.9588 ,          97.5043 ,             266.6271 ,             1003.2059 ,         252.6399 ,                 8.3519 ,             131.7083 ,          43.8242 ,-76.2              ,               10.0325  ,3.1358                   ,6.2868                ,          131    ,     43.8242 ,-76.1999      ,            252.6428 ,                   10.5111 ,         0 ,4.3754               ,96.7538          ,96.7538          ,      1002.0716 ,                1 ,          267.0438 ,                   1 ,                7.9723 ,2.492                   ,-32768               ,                        166.1044 ,               2.3368   , , , , ,
[2023-02-01T18:55:40.4080964] ,  1630.802  ,01-Feb-2023 18:52:47 ,                266.8889 ,          97.5842 ,             266.5681 ,             1002.4589 ,         252.8543 ,                 8.6369 ,             137.5825 ,          43.8242 ,-76.1998           ,                9.0787  ,2.4033                   ,6.3544                ,          137.77 ,     43.8242 ,-76.1998      ,            255.173  ,                    9.3914 ,         0 ,6.2868               ,97.5501          ,97.5501          ,      1001.3174 ,                1 ,          266.9772 ,                   1 ,                8.2536 ,2.5463                  ,-32768               ,                        172.301  ,               2.328    , , , , ,
[2023-02-01T18:55:40.4098065] ,  1631.802  ,01-Feb-2023 18:52:48 ,                266.8103 ,          97.4529 ,             266.4721 ,             1001.7005 ,         253.0881 ,                 8.9041 ,             143.4649 ,          43.8242 ,-76.1997           ,                9.2966  ,3.909                    ,5.1658                ,          143.89 ,     43.8242 ,-76.1997      ,            247.1944 ,                   10.085  ,         0 ,6.3544               ,97.7963          ,97.7963          ,      1000.3164 ,                1 ,          266.8989 ,                   1 ,                8.5192 ,2.5905                  ,-32768               ,                        178.4908 ,               2.3126   , , , , ,
[2023-02-01T18:55:40.4114198] ,  1632.802  ,01-Feb-2023 18:52:49 ,                266.7471 ,          97.4348 ,             266.4066 ,             1000.9368 ,         253.3427 ,                 9.1537 ,             148.8457 ,          43.8243 ,-76.1996           ,                7.2935  ,5.9865                   ,7.145                 ,          150.12 ,     43.8243 ,-76.1996      ,            230.6207 ,                    9.4357 ,         0 ,5.1658               ,96.9798          ,96.9798          ,       999.6248 ,                1 ,          266.8351 ,                   1 ,                8.7693 ,2.6243                  ,-32768               ,                        183.8813 ,               2.3027   , , , , ,
[2023-02-01T18:55:40.4127807] ,  1633.802  ,01-Feb-2023 18:52:50 ,                266.6761 ,          97.8873 ,             266.3964 ,             1000.1724 ,         253.6178 ,                 9.3862 ,             153.6222 ,          43.8243 ,-76.1995           ,                7.7062  ,7.199                    ,4.5932                ,          152.91 ,     43.8243 ,-76.1995      ,            226.9491 ,                   10.5457 ,         0 ,7.145                ,97.3205          ,97.3205          ,       998.9051 ,                1 ,          266.758  ,                   1 ,                9.0047 ,2.6476                  ,-32768               ,                        188.1375 ,               2.3027   , , , , ,
